operation,path,method,url,help_url
GetQuerySpecification,/GetQuerySpecification,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetQuerySpecification,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetQuerySpecification
GetReferencedTableInfo,/GetReferencedTableInfo,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetReferencedTableInfo,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetReferencedTableInfo
GetReportDefinition,/GetReportDefinition,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetReportDefinition,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetReportDefinition
GetRoleAssignments,/GetRoleAssignments,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetRoleAssignments,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetRoleAssignments
GetRolePermissionConstants,/GetRolePermissionConstants,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetRolePermissionConstants,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetRolePermissionConstants
GetRolePermissions,/GetRolePermissions,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetRolePermissions,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetRolePermissions
GetRoles,/GetRoles,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetRoles,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetRoles
GetSavedQuery,/GetSavedQuery,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetSavedQuery,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetSavedQuery
GetSettingInt,/GetSettingInt,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetSettingInt,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetSettingInt
GetSettings,/GetSettings,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetSettings,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetSettings
GetSettingString,/GetSettingString,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetSettingString,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetSettingString
GetSharedLink,/GetSharedLink,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetSharedLink,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetSharedLink
GetSharedLinksForDocument,/GetSharedLinksForDocument,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetSharedLinksForDocument,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetSharedLinksForDocument
GetSharedLinksSharedByMe,/GetSharedLinksSharedByMe,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetSharedLinksSharedByMe,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetSharedLinksSharedByMe
GetSharedLinksSharedWithMe,/GetSharedLinksSharedWithMe,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetSharedLinksSharedWithMe,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetSharedLinksSharedWithMe
GetSmartCaptureVerficationLink,/GetSmartCaptureVerficationLink,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetSmartCaptureVerficationLink,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetSmartCaptureVerficationLink
GetTask,/GetTask,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetTask,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetTask
GetTaskInfo,/GetTaskInfo,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetTaskInfo,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetTaskInfo
GetThumbnail,/GetThumbnail,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetThumbnail,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetThumbnail
GetTreeViewChildNodes,/GetTreeViewChildNodes,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetTreeViewChildNodes,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetTreeViewChildNodes
GetTreeViewChildNodesAndDocuments,/GetTreeViewChildNodesAndDocuments,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetTreeViewChildNodesAndDocuments,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetTreeViewChildNodesAndDocuments
GetTreeViewNodeDocuments,/GetTreeViewNodeDocuments,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetTreeViewNodeDocuments,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetTreeViewNodeDocuments
GetUserDashboards,/GetUserDashboards,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetUserDashboards,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetUserDashboards
GetUserDetails,/GetUserDetails,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetUserDetails,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetUserDetails
GetUserFavorites,/GetUserFavorites,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetUserFavorites,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetUserFavorites
GetUserGroupNo,/GetUserGroupNo,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetUserGroupNo,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetUserGroupNo
GetUserSettingInt,/GetUserSettingInt,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetUserSettingInt,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetUserSettingInt
GetUserSettings,/GetUserSettings,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetUserSettings,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetUserSettings
GetUserSettingString,/GetUserSettingString,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetUserSettingString,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetUserSettingString
GetUsersFromGroup,/GetUsersFromGroup,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetUsersFromGroup,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetUsersFromGroup
GetViewingPages,/GetViewingPages,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetViewingPages,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetViewingPages
GetViewingThumbnails,/GetViewingThumbnails,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetViewingThumbnails,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetViewingThumbnails
GetWebAPIServerVersion,/GetWebAPIServerVersion,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetWebAPIServerVersion,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetWebAPIServerVersion
GetWorkflowHistory,/GetWorkflowHistory,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetWorkflowHistory,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetWorkflowHistory
GetWorkflowInstance,/GetWorkflowInstance,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetWorkflowInstance,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetWorkflowInstance
GetWorkflowProcess,/GetWorkflowProcess,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetWorkflowProcess,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetWorkflowProcess
GetWorkflowTaskSettings,/GetWorkflowTaskSettings,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetWorkflowTaskSettings,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetWorkflowTaskSettings
HandleESignaturePushNotification,/HandleESignaturePushNotification,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/HandleESignaturePushNotification,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/HandleESignaturePushNotification
HasPermissions,/HasPermissions,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/HasPermissions,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/HasPermissions
HasRolePermission,/HasRolePermission,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/HasRolePermission,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/HasRolePermission
HasRolePermissions,/HasRolePermissions,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/HasRolePermissions,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/HasRolePermissions
LinkCases,/LinkCases,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/LinkCases,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/LinkCases
LinkCaseToDocument,/LinkCaseToDocument,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/LinkCaseToDocument,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/LinkCaseToDocument
LinkDocAndWFInstance,/LinkDocAndWFInstance,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/LinkDocAndWFInstance,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/LinkDocAndWFInstance
LinkDocuments,/LinkDocuments,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/LinkDocuments,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/LinkDocuments
ListPasskeys,/ListPasskeys,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/ListPasskeys,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/ListPasskeys
LoadComments,/LoadComments,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/LoadComments,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/LoadComments
MoveDocument,/MoveDocument,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/MoveDocument,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/MoveDocument
MoveUserLicense,/MoveUserLicense,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/MoveUserLicense,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/MoveUserLicense
PrepareViewing,/PrepareViewing,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/PrepareViewing,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/PrepareViewing
PreprocessIndexData,/PreprocessIndexData,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/PreprocessIndexData,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/PreprocessIndexData
PreprocessTableRow,/PreprocessTableRow,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/PreprocessTableRow,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/PreprocessTableRow
QueryDependentFieldsDirect,/QueryDependentFieldsDirect,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/QueryDependentFieldsDirect,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/QueryDependentFieldsDirect
RefreshNotificationSubscriptions,/RefreshNotificationSubscriptions,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/RefreshNotificationSubscriptions,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/RefreshNotificationSubscriptions
RegisterPasskey,/RegisterPasskey,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/RegisterPasskey,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/RegisterPasskey
ReleaseFullTextQuery,/ReleaseFullTextQuery,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/ReleaseFullTextQuery,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/ReleaseFullTextQuery
ReleaseMultiQuery,/ReleaseMultiQuery,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/ReleaseMultiQuery,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/ReleaseMultiQuery
ReleaseSingleQuery,/ReleaseSingleQuery,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/ReleaseSingleQuery,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/ReleaseSingleQuery
RemoveManualLink,/RemoveManualLink,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/RemoveManualLink,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/RemoveManualLink
RemoveNotificationSubscriptions,/RemoveNotificationSubscriptions,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/RemoveNotificationSubscriptions,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/RemoveNotificationSubscriptions
RenameObject,/RenameObject,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/RenameObject,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/RenameObject
RenamePasskey,/RenamePasskey,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/RenamePasskey,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/RenamePasskey
ReopenCase,/ReopenCase,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/ReopenCase,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/ReopenCase
ReorderDocumentStreams,/ReorderDocumentStreams,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/ReorderDocumentStreams,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/ReorderDocumentStreams
RerouteWorkflowInstance,/RerouteWorkflowInstance,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/RerouteWorkflowInstance,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/RerouteWorkflowInstance
ResetReferencedWebService,/ResetReferencedWebService,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/ResetReferencedWebService,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/ResetReferencedWebService
ResetUserPwd,/ResetUserPwd,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/ResetUserPwd,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/ResetUserPwd
ResolveSharedLink,/ResolveSharedLink,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/ResolveSharedLink,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/ResolveSharedLink
